Coluna;Periodicidade
UF;2005;2007;2009
Acre;3;3,29999999999927;3,5
Alagoas;2,79999999999927;2,59999999999854;2,79999999999927
Amapá;2,70000000000073;2,70000000000073;2,79999999999927
Amazonas;2,29999999999927;2,79999999999927;3,20000000000073
Bahia;2,70000000000073;2,79999999999927;3,09999999999854
Ceará;3;3,09999999999854;3,40000000000146
Distrito Federal;3;3,20000000000073;3,20000000000073
Espírito Santo;3,09999999999854;3,20000000000073;3,40000000000146
Goiás;2,90000000000146;2,79999999999927;3,09999999999854
Maranhão;2,40000000000146;2,79999999999927;3
Mato Grosso;2,59999999999854;3;2,90000000000146
Mato Grosso do Sul;2,79999999999927;3,40000000000146;3,5
Minas Gerais;3,40000000000146;3,5;3,59999999999854
Pará;2,59999999999854;2,29999999999927;3
Paraíba;2,59999999999854;2,90000000000146;3
Paraná;3,29999999999927;3,70000000000073;3,90000000000146
Pernambuco;2,70000000000073;2,70000000000073;3
Piauí;2,29999999999927;2,5;2,70000000000073
Rio de Janeiro;2,79999999999927;2,79999999999927;2,79999999999927
Rio Grande do Norte;2,59999999999854;2,59999999999854;2,79999999999927
Rio Grande do Sul;3,40000000000146;3,40000000000146;3,59999999999854
Rondônia;3;3,09999999999854;3,70000000000073
Roraima;3,20000000000073;3,09999999999854;3,5
Santa Catarina;3,5;3,79999999999927;3,70000000000073
São Paulo;3,29999999999927;3,40000000000146;3,59999999999854
Sergipe;2,79999999999927;2,59999999999854;2,90000000000146
Tocantins;2,90000000000146;3,09999999999854;3,29999999999927
nbsp;0;0;0

Seleções vigentes
Variável;Critério;Valor
Grupo Informação;igual a;Ideb por estados
Periodicidade;maior ou igual a;2005
Periodicidade;menor ou igual a;2009
UF;igual a;Acre
;;Alagoas
;;Amazonas
;;Amapá
;;Bahia
;;Ceará
;;Distrito Federal
;;Espírito Santo
;;Goiás
;;Maranhão
;;Minas Gerais
;;Mato Grosso do Sul
;;Mato Grosso
;;Pará
;;Paraíba
;;Pernambuco
;;Piauí
;;Paraná
;;Rio de Janeiro
;;Rio Grande do Norte
;;Rondônia
;;Roraima
;;Rio Grande do Sul
;;Santa Catarina
;;Sergipe
;;São Paulo
;;Tocantins
;;Uf não Identificada
VAUF;igual a;Uf